Season,PlayerID,TID,team_abbreviation,player_id
2012,12,1244,kennesaw-state,Aaron Anderson
2012,13,1315,north-dakota,Aaron Anderson
2012,16,1296,northern-illinois,Aaron Armstead
2012,17,1223,houston-baptist,Aaron Asp
2012,19,1214,hampton,Aaron Austin
2012,23,1422,north-carolina-greensboro,Aaron Bracket
2012,25,1388,saint-marys-ca,Aaron Bright
2012,26,1370,seattle,Aaron Broussard
2012,27,1130,boston-college,Aaron Brown
2012,28,1386,saint-josephs,Aaron Brown
2012,34,1411,texas-southern,Aaron Clayborn
2012,36,1443,western-kentucky,Aaron Cosby
2012,37,1326,ohio-state,Aaron Craft
2012,47,1391,stetson,Aaron Graham
2012,49,1358,sam-houston-state,Aaron Harwell
2012,50,1294,northern-colorado,Aaron Hawk Harris
2012,51,1179,drake,Aaron Hawley
2012,57,1279,mississippi,Aaron Jones
2012,62,1354,south-carolina-state,Aaron Martin
2012,70,1156,cleveland-state,Aaron Pogue
2012,82,1358,sam-houston-state,Aaron Thompson
2012,84,1410,texas-pan-american,Aaron Urbanus
2012,87,1203,george-washington,Aaron Ware
2012,93,1234,iowa,Aaron White
2012,95,1152,chicago-state,Aaron Williams
2012,97,1414,california-irvine,Aaron Wright
2012,103,1235,iowa-state,Abdel Nader
2012,109,1449,washington,Abdul Gaddy
2012,116,1450,washington-state,Abe Lodwick
2012,119,1226,idaho-state,Abner Moreira
2012,124,1387,saint-louis,Achraf Yacoubou
2012,127,1125,belmont,Adam Barnes
2012,137,1413,california-davis,Adam Malik
2012,141,1391,stetson,Adam Pegg
2012,148,1210,georgia-tech,Adam Smith
2012,149,1190,east-tennessee-state,Adam Sollazzo
2012,150,1117,arkansas-state,Adam Sterrenberg
2012,153,1275,miami-oh,Adam Thomas
2012,154,1377,south-dakota,Adam Thoseby
2012,156,1461,wyoming,Adam Waddell
2012,161,1167,cal-state-bakersfield,Adam Young
2012,171,1103,akron,Adedeji Ibitayo
2012,177,1239,jacksonville,Admir Sahbegovic
2012,183,1205,gardner-webb,Adonis Burbage
2012,187,1272,memphis,Adonis Thomas
2012,190,1277,michigan-state,Adreian Payne
2012,197,1270,mcneese-state,Adrian Fields
2012,201,1299,north-carolina-at,Adrian Powell
2012,204,1380,southern,Adrian Rogers
2012,205,1420,maryland-baltimore-county,Adrian Satchell
2012,206,1395,texas-christian,Adrick Mckinney
2012,207,1126,bethune-cookman,Adrien Coleman
2012,212,1461,wyoming,Afam Muojeke
2012,226,1349,rice,Ahmad Ibrahim
2012,227,1228,illinois,Ahmad Starks
2012,232,1227,illinois-chicago,Ahman Fells
2012,250,1172,davidson,Aj Atkinson
2012,268,1307,new-mexico,Aj Hardeman
2012,280,1405,toledo,Aj Mathew
2012,286,1460,wright-state,Aj Pacher
2012,291,1416,central-florida,Aj Rompza
2012,297,1124,baylor,Aj Walton
2012,310,1164,coppin-state,Akeem Ellis
2012,331,1392,stony-brook,Al Rapier
2012,336,1407,troy,Alan Jones
2012,337,1418,louisiana-lafayette,Alan Michael Thompson
2012,340,1116,arkansas,Alandise Harris
2012,344,1263,maine,Alasdair Fraser
2012,352,1200,fordham,Alberto Estwick
2012,355,1453,green-bay,Alec Brown
2012,362,1361,san-diego-state,Alec Williams
2012,382,1103,akron,Alex Abreu
2012,388,1139,butler,Alex Barlow
2012,401,1130,boston-college,Alex Dragicevich
2012,405,1153,cincinnati,Alex Eppensteiner
2012,410,1136,bryant,Alex Francis
2012,412,1406,towson,Alex Gavrilovic
