ID,Pred
2015_1107_1112,0.007
2015_1107_1116,0.168
2015_1107_1124,0.1905
2015_1107_1125,0.532
2015_1107_1129,0.22
2015_1107_1138,0.2425
2015_1107_1139,0.145
2015_1107_1140,0.1275
2015_1107_1153,0.1725
2015_1107_1157,0.455
2015_1107_1172,0.334
2015_1107_1173,0.2065
2015_1107_1181,0.1415
2015_1107_1186,0.3835
2015_1107_1207,0.141
2015_1107_1208,0.2745
2015_1107_1209,0.3545
2015_1107_1211,0.0325
2015_1107_1214,0.6075
2015_1107_1217,0.306
2015_1107_1231,0.1805
2015_1107_1234,0.1685
2015_1107_1235,0.0565
2015_1107_1242,0.1235
2015_1107_1246,0.067
2015_1107_1248,0.537
2015_1107_1257,0.1795
2015_1107_1261,0.246
2015_1107_1264,0.567
2015_1107_1268,0.177
2015_1107_1277,0.1875
2015_1107_1279,0.187
2015_1107_1295,0.441
2015_1107_1301,0.2205
2015_1107_1308,0.5245
2015_1107_1314,0.167
2015_1107_1316,0.5605
2015_1107_1318,0.4595
2015_1107_1320,0.083
2015_1107_1323,0.0195
2015_1107_1326,0.1175
2015_1107_1328,0.0925
2015_1107_1329,0.2905
2015_1107_1332,0.2115
2015_1107_1344,0.1805
2015_1107_1345,0.1995
2015_1107_1352,0.556
2015_1107_1361,0.327
2015_1107_1372,0.3135
2015_1107_1374,0.1485
2015_1107_1385,0.317
2015_1107_1400,0.2675
2015_1107_1411,0.6765
2015_1107_1412,0.5375
2015_1107_1414,0.403
2015_1107_1417,0.198
2015_1107_1428,0.0605
2015_1107_1433,0.2335
2015_1107_1434,0.268
2015_1107_1437,0.135
2015_1107_1438,0.1595
2015_1107_1452,0.1755
2015_1107_1455,0.0455
2015_1107_1458,0.013
2015_1107_1459,0.318
2015_1107_1461,0.316
2015_1107_1462,0.153
2015_1112_1116,0.74
2015_1112_1124,0.674
2015_1112_1125,0.8945
2015_1112_1129,0.9105
2015_1112_1138,0.955
2015_1112_1139,0.8155
2015_1112_1140,0.7935
2015_1112_1153,0.8235
2015_1112_1157,0.9895
2015_1112_1172,0.712
2015_1112_1173,0.821
2015_1112_1181,0.3475
2015_1112_1186,0.8235
2015_1112_1207,0.8835
2015_1112_1208,0.882
2015_1112_1209,0.9745
2015_1112_1211,0.4225
2015_1112_1214,0.9915
2015_1112_1217,0.9085
2015_1112_1231,0.8355
2015_1112_1234,0.856
